"var_y","sum_y","sum_y_squared","sum_y2_squared","sum_y3","sum_y3_squared","n_in_node","count_btw_0_0.25kg","count_btw_0.25_0.5kg","count_btw_0.5_0.75kg","count_btw_0.75_1kg","count_btw_1_1.25kg","count_btw_1.25_1.5kg","count_btw_1.5_1.75kg","count_btw_1.75_2kg","count_btw_2_2.25kg","count_btw_2.25_2.5kg","count_above_2.5kg"
0.0525632332116689,477427.064316291,3841213.47247003,249195725.498956,30928150.4995441,16208725478.5462,59388,2,88,131,160,204,253,399,687,1227,2486,53751
0.0545780264457397,508573.547063506,4106604.43486332,268356566.575724,33185179.4324695,17582939212.3953,63036,2,81,159,192,207,263,370,646,1169,2176,57771
0.0518498737541043,648114.135507892,5235001.01012027,342288872.374582,42315878.8716481,22440308066.394,80303,4,86,160,183,253,327,450,730,1331,2564,74215
0.0512889579334141,700124.290720802,5680104.77809489,374663421.522163,46115981.8267563,24777109265.8096,86364,6,92,152,178,231,304,404,708,1193,2126,80970
0.0790288466324584,224867.763769934,1794823.86261047,114715294.263475,14341722.3159576,7359483381.54825,28208,1,83,152,167,203,242,338,555,1031,1827,23609
0.0851573213485585,235365.507955834,1886624.59794007,121631214.449156,15140400.5731755,7871693226.42743,29402,4,113,172,156,185,220,267,484,783,1547,25471
0.0678417047954247,82947.1695344713,666808.998469772,43213870.5131886,5365604.31708819,2810028276.63552,10329,3,19,36,39,39,63,88,134,229,450,9229
0.072233452079952,86637.799920707,699083.963533531,45649709.3887242,5646577.7636629,2991073946.3426,10749,1,30,37,48,41,44,76,126,218,359,9769
0.0726365289008448,96429.6425340001,775309.981989327,50270274.7446743,6240030.98676181,3271151477.12772,12007,1,21,51,43,62,92,134,176,328,568,10531
0.0702693799530316,104680.931897736,844427.348008444,55106823.2207567,6818453.55878657,3608535706.23402,12991,0,23,44,54,51,79,150,190,297,516,11587
0.0576951656494126,306643.06354712,2475104.75794709,161649919.215849,19994668.7928782,10589215102.6009,38024,1,36,90,97,149,176,277,488,812,1417,34481
0.0591514506202529,330151.002062796,2676331.41830897,176302589.049364,21713483.1043231,11648496772.2417,40764,2,46,82,114,130,190,286,418,646,1209,37641
0.0972755131851613,43525.6025955999,347061.446625289,22154158.3050399,2771165.92443736,1420594256.11274,5467,2,19,40,40,44,55,78,166,260,360,4403
0.106439742905865,43154.5266576649,345511.248349563,22243499.988106,2770399.77695838,1439021183.00133,5399,0,22,48,47,42,47,90,119,178,302,4504
0.0811759021549539,50759.2106543116,407286.658230655,26309998.1125167,3271769.07147411,1706232967.9241,6334,1,9,39,39,40,60,59,103,170,347,5467
0.0816207264860729,53761.624927606,433291.329846686,28238491.4459209,3496097.30444949,1847535323.59875,6679,0,12,32,38,48,58,62,107,159,243,5920
0.0499488768227879,323374.187539717,2601334.90087207,168685823.018071,20940878.5775928,10965559405.0267,40230,2,47,91,104,126,177,274,496,860,1714,36339
0.0547292966269629,341923.568462778,2760842.59756573,180401588.421244,22309372.8129874,11819213283.9047,42382,1,57,105,123,139,201,274,437,764,1554,38727
0.0488821708518514,202125.582178943,1630462.87832121,106308719.87004,13161354.3580445,6948255689.13342,25076,3,24,50,57,80,99,156,245,456,877,23029
0.0486226561808271,214002.666732427,1733401.31990564,113954033.380036,14049988.9780799,7509435268.08586,26440,4,25,39,53,73,97,149,237,401,757,24605
