"Node","Terminal","Split","n","Deviance","SplitCondition"
1,"No","mrace15",128,1620901.79090039,"mrace15 = 0"
2,"No","cig_0",64,1199039.45610453,"cig_0 = 0"
3,"No","dmar",64,409728.087367142,"dmar = 0"
4,"No","dmar",32,1062589.01202684,"mager = 0"
5,"No","precare5",32,132959.990994138,"sex = 0"
6,"No","cig_0",32,304439.048944566,"precare5 = 0"
7,"No","cig_0",32,104614.38703758,NA
8,"No","mager",16,377802.885927441,NA
9,"No","sex",16,683528.190134931,"precare5 = 0"
10,"No","mager",16,52288.8746719965,NA
11,"No","mager",16,80330.3240824975,NA
12,"No","sex",16,277216.933271175,"precare5 = 0"
13,"No","mager",16,26795.587939011,NA
14,"No","sex",16,100778.454662303,NA
15,"Yes",NA,16,3747.70748914585,"sex = 0"
16,"No","sex",8,312314.879007022,"precare5 = 0"
17,"No","precare5",8,65197.7479607279,"mager = 0"
18,"No","precare5",8,357591.566175655,NA
19,"No","mager",8,325430.279472565,NA
20,"No","sex",8,38963.0678794187,"mager = 0"
21,"Yes",NA,8,13200.5489843776,NA
22,"No","sex",8,62756.1134062838,NA
23,"Yes",NA,8,17459.3588538884,"mager = 0"
24,"No","mager",8,147592.26321126,"precare5 = 0"
25,"No","mager",8,129324.912652433,NA
26,"Yes",NA,8,20536.9563799667,NA
27,"Yes",NA,8,6243.35419366097,"precare5 = 0"
28,"Yes",NA,8,53270.7277583427,NA
29,"Yes",NA,8,47458.9388738662,"meduc = 0"
32,"No","precare5",4,162586.063328417,NA
33,"No","precare5",4,149556.675248432,NA
34,"Yes",NA,4,21451.1797453107,"precare5 = 0"
35,"Yes",NA,4,43733.6226501146,"mager = 0"
36,"No","mager",4,70652.874914815,"sex = 0"
37,"No","mager",4,286815.85083503,NA
38,"No","precare5",4,217664.2443871,NA
39,"No","precare5",4,107660.653783069,NA
40,"Yes",NA,4,20229.6015238923,"mager = 0"
41,"Yes",NA,4,18730.0896712757,"sex = 0"
44,"Yes",NA,4,33635.8175474923,NA
45,"Yes",NA,4,29063.6279196866,NA
48,"Yes",NA,4,125039.397735855,NA
49,"Yes",NA,4,22535.8693184754,"dmar = 0"
50,"Yes",NA,4,109243.506793059,"cig_0 = 0"
51,"Yes",NA,4,20033.0632565622,"sex = 0"
64,"Yes",NA,2,53374.4268603771,"mager = 0"
65,"Yes",NA,2,109202.173385487,NA
66,"Yes",NA,2,51125.6801617783,NA
67,"Yes",NA,2,98380.7596658468,"mager = 0"
72,"Yes",NA,2,47418.1126572629,NA
73,"Yes",NA,2,23223.6770195421,NA
74,"Yes",NA,2,192764.700404282,"mager = 0"
75,"Yes",NA,2,94004.3533580462,NA
76,"Yes",NA,2,43518.417436129,NA
77,"Yes",NA,2,174131.687665675,"cig_0 = 0"
78,"Yes",NA,2,21408.3741078293,"sex = 0"
79,"No","meduc",2,86223.362974559,NA
158,"Yes",NA,1,77690.0793530839,NA
159,"Yes",NA,1,8531.20402719843,NA
